Id,Title_Of_The_Course
0,Python for Everybody
1,Python 3 Programming
2,Google IT Automation with Python
4,IBM Data Science
3,Applied Data Science with Python
5,Programming for Everybody (Getting Started with Python)
6,Data Science Fundamentals with Python and SQL
7,Crash Course on Python
8,Introduction to Programming with Python and Java
9,Introduction to Python Programming
10,Python for Everybody
11,Python 3 Programming
13,Applied Data Science with Python
15,Programming for Everybody (Getting Started with Python)
12,Google IT Automation with Python
17,Crash Course on Python
19,Introduction to Python Programming
16,Data Science Fundamentals with Python and SQL
18,Introduction to Programming with Python and Java
14,IBM Data Science
20,Python for Everybody
21,Python 3 Programming
23,Applied Data Science with Python
24,IBM Data Science
26,Data Science Fundamentals with Python and SQL
25,Programming for Everybody (Getting Started with Python)
27,Crash Course on Python
22,Google IT Automation with Python
28,Introduction to Programming with Python and Java
29,Introduction to Python Programming
